incident_number,opened_at,category,cmdb_ci,state,problem_id
INC1767866,2024-01-29 12:29:54,Hardware,NMAMJ099PV9W,Closed Complete,
INC1767903,2024-01-29 12:57:02,Software,,Closed Complete,
INC1767948,2024-01-29 13:29:38,Software,Amazon Web Services (AWS),Closed Complete,
INC1767958,2024-01-29 13:33:16,Software,,Closed Complete,
INC1767964,2024-01-29 13:33:23,Software,,Closed Complete,
INC1767990,2024-01-29 13:46:06,Software,,Closed Complete,
INC1768423,2024-01-29 14:55:26,Software,POS Vouchers,Closed Complete,
INC1768106,2024-01-29 16:29:28,Software,SAP ECC PRD RTP,Closed Complete,
INC1768120,2024-01-29 16:47:57,Software,GK POS,Closed Complete,
INC1768134,2024-01-29 17:05:24,Software,Network,Closed Complete,
INC1768145,2024-01-29 17:55:21,Software,Print Supervision,Closed Complete,
INC1768292,2024-01-30 06:54:35,Software,GK POS,Closed Complete,
INC1768457,2024-01-30 09:58:42,Software,Amazon Web Services (AWS),Closed Complete,
INC1768516,2024-01-30 10:20:59,Software,GK POS,Closed Complete,
INC1768512,2024-01-30 10:21:21,Software,POS: CVM,Closed Complete,
INC1768530,2024-01-30 10:50:41,Software,Request,Closed Complete,
INC1768575,2024-01-30 11:47:43,Software,Amazon Web Services (AWS),Closed Complete,
INC1768581,2024-01-30 11:54:18,Software,Amazon Web Services (AWS),Closed Complete,
INC1768682,2024-01-30 13:22:48,Hardware,Mobile Device - iPad,Closed Complete,
INC1768676,2024-01-30 13:30:10,Network,Cisco 7841 IP Phone,Closed Complete,
INC1768810,2024-01-30 15:24:30,Network,Mobile Device - iPad,Closed Complete,
INC1768809,2024-01-30 15:52:40,Software,GK POS,Closed Complete,
INC1768871,2024-01-30 17:17:10,Software,GK Launchpad,Closed Complete,
INC1768856,2024-01-30 18:05:30,Software,SAP Hybris,Closed Complete,
INC1768868,2024-01-30 18:33:23,Software,Store Point of Sale (POS),Closed Complete,
INC1769048,2024-01-31 08:15:05,Software,POS: Product Browse,Closed Complete,
INC1769157,2024-01-31 09:28:30,Software,Meraki Meraki MR33 Access Point for Store Guest WiFi,Closed Complete,
INC1769146,2024-01-31 09:43:23,Software,vision,Closed Complete,
INC1769349,2024-01-31 11:07:53,Software,Unknown,Closed Complete,
INC1769274,2024-01-31 12:07:45,Software,Informatica MDM,Closed Complete,
INC1769275,2024-01-31 12:08:57,Software,POS: CVM,Closed Complete,
INC1769249,2024-01-31 12:13:25,Software,vision,Closed Complete,
INC1769394,2024-01-31 15:56:27,Software,Salesforce Experience Cloud,Closed Complete,
INC1769467,2024-01-31 17:42:00,Software,GK POS,Closed Complete,
INC1769477,2024-01-31 18:22:39,Software,GK POS,Closed Complete,
INC1769608,2024-02-01 06:04:22,Software,Hybris 1.2,Closed Complete,
INC1769679,2024-02-01 08:02:58,Software,GK POS,Closed Complete,
INC1769745,2024-02-01 08:36:18,Software,GK POS,Closed Complete,
INC1769757,2024-02-01 09:44:01,Software,Amazon Web Services (AWS),Closed Complete,
INC1769780,2024-02-01 10:10:08,Software,SAP Hybris,Closed Complete,
INC1769841,2024-02-01 11:26:23,Software,GK POS,Closed Complete,
INC1769855,2024-02-01 11:45:54,Software,Amazon Web Services (AWS),Closed Complete,
INC1769947,2024-02-01 13:35:42,Software,SAP Hybris,Closed Complete,
INC1770139,2024-02-01 15:01:18,Software,GK POS,Closed Complete,
INC1770245,2024-02-01 16:55:29,Software,GK POS,Closed Complete,
INC1770281,2024-02-01 17:09:44,Software,GK POS,Closed Complete,
INC1770275,2024-02-01 17:34:06,Software,MVI (Miscellaneous Articles),Closed Complete,
INC1770283,2024-02-01 18:14:39,Software,GK Launchpad,Closed Complete,
INC1770291,2024-02-01 19:20:26,Software,GK POS,Closed Complete,
INC1770379,2024-02-02 04:46:43,Software,SAP ECC PRD RTP,Closed Complete,
INC1770380,2024-02-02 04:53:56,Software,Buy Online Pickup In Store (BOPIS),Closed Complete,
INC1770381,2024-02-02 04:56:53,Software,Buy Online Pickup In Store (BOPIS),Closed Complete,
INC1770480,2024-02-02 08:17:39,Software,GK POS,Closed Complete,
INC1770506,2024-02-02 08:59:43,Software,GK POS,Closed Complete,
INC1770517,2024-02-02 09:15:29,Software,MVI (Miscellaneous Articles),Closed Complete,
INC1770567,2024-02-02 10:04:16,Software,GK POS,Closed Complete,
INC1770619,2024-02-02 10:44:26,Software,GK POS,Closed Complete,
INC1770648,2024-02-02 11:28:36,Software,,Closed Complete,
INC1770657,2024-02-02 11:51:35,Software,,Closed Complete,
INC1770687,2024-02-02 12:29:39,Software,SAP Hybris,Closed Complete,
INC1770679,2024-02-02 12:35:54,Software,,Closed Complete,
INC1770722,2024-02-02 13:19:10,Software,Amazon Web Services (AWS),Closed Complete,
INC1770788,2024-02-02 14:34:15,Software,GK POS,Closed Complete,
INC1770812,2024-02-02 15:24:09,Software,POS: Product Browse,Closed Complete,
INC1770834,2024-02-02 15:41:14,Software,Informatica C360,Closed Complete,
INC1770902,2024-02-02 15:59:46,Software,Auto Integrate,Closed Complete,
INC1770886,2024-02-02 16:32:11,Software,Informatica C360,Closed Complete,
INC1770874,2024-02-02 16:36:22,Software,GK POS,Closed Complete,
INC1770928,2024-02-02 18:33:45,Software,GK Launchpad,Closed Complete,
INC1771280,2024-02-03 07:53:54,Software,Buy Online Pickup In Store (BOPIS),Closed Complete,
INC1771313,2024-02-03 09:40:13,Software,SAP ECC PRD RTP,Closed Complete,
INC1771458,2024-02-03 11:06:53,Software,GK POS,Closed Complete,
INC1771491,2024-02-03 11:35:49,Software,SAP Hybris,Closed Complete,
INC1771488,2024-02-03 12:02:32,Software,GK POS,Closed Complete,
INC1771512,2024-02-03 12:54:46,Software,SAP Reporting,Closed Complete,
INC1771528,2024-02-03 13:59:38,Software,Amazon Web Services (AWS),Closed Complete,
INC1771561,2024-02-03 14:55:08,Software,Request for Information,Closed Complete,
INC1771566,2024-02-03 15:02:34,Software,GK POS,Closed Complete,
INC1771592,2024-02-03 16:50:34,Software,GK POS,Closed Complete,
INC1771594,2024-02-03 17:15:09,Software,Amazon Web Services (AWS),Closed Complete,
INC1771596,2024-02-03 17:20:21,Software,GK POS,Closed Complete,
INC1771629,2024-02-03 22:18:03,Software,Fitment (Hana),Closed Complete,
INC1771651,2024-02-04 09:38:06,Software,Amazon Web Services (AWS),Closed Complete,
INC1771774,2024-02-05 04:05:53,Software,Computer,Closed Complete,
INC1771798,2024-02-05 05:04:36,Software,Computer,Closed Complete,
INC1771785,2024-02-05 05:08:05,Software,GK POS,Closed Complete,
INC1771788,2024-02-05 05:19:11,Software,GK POS,Closed Complete,
INC1771793,2024-02-05 05:29:04,Software,GK POS,Closed Complete,
INC1771794,2024-02-05 05:33:31,Software,SAP ECC PRD RTP,Closed Complete,
INC1771797,2024-02-05 05:41:15,Software,SAP Hybris,Closed Complete,
INC1771813,2024-02-05 06:19:37,Software,SAP Reporting,Closed Complete,
INC1771840,2024-02-05 06:29:31,Software,GK POS,Closed Complete,
INC1771851,2024-02-05 06:43:30,Software,GK POS,Closed Complete,
INC1771852,2024-02-05 06:57:22,Software,POS: CVM,Closed Complete,
INC1771858,2024-02-05 07:04:06,Software,SAP Hybris,Closed Complete,
INC1771861,2024-02-05 07:05:28,Software,Hybris 1.2,Closed Complete,
INC1771867,2024-02-05 07:08:01,Software,SAP Hybris,Closed Complete,
INC1771872,2024-02-05 07:10:36,Software,Hybris 1.2,Closed Complete,
INC1771875,2024-02-05 07:13:21,Software,SAP ECC PRD RTP,Closed Complete,
INC1771882,2024-02-05 07:20:26,Software,SAP Hybris,Closed Complete,
INC1771890,2024-02-05 07:28:42,Software,SAP Hybris,Closed Complete,
INC1771909,2024-02-05 07:51:26,Software,SAP Hybris,Closed Complete,
INC1771913,2024-02-05 07:57:13,Software,SAP Hybris,Closed Complete,
INC1771920,2024-02-05 08:02:38,Software,SAP Hybris,Closed Complete,
INC1771940,2024-02-05 08:19:59,Software,GK POS,Closed Complete,
INC1771956,2024-02-05 08:30:42,Software,Salesforce: Appointments ,Closed Complete,
INC1772028,2024-02-05 09:38:48,Software,MicroStrategy,Closed Complete,
INC1772084,2024-02-05 10:10:27,Software,GK POS,Closed Complete,
INC1772111,2024-02-05 10:45:01,Software,Amazon Web Services (AWS),Closed Complete,
INC1772116,2024-02-05 10:51:21,Software,,Closed Complete,
INC1772119,2024-02-05 10:55:19,Software,,Closed Complete,
INC1772128,2024-02-05 10:56:15,Software,GK POS,Closed Complete,
INC1772136,2024-02-05 11:07:23,Software,,Closed Complete,
INC1772184,2024-02-05 11:24:07,Software,GK POS,Closed Complete,
INC1772194,2024-02-05 11:42:50,Software,Store Point of Sale (POS),Closed Complete,
INC1772223,2024-02-05 12:19:44,Software,POS: Product Browse,Closed Complete,
INC1772255,2024-02-05 12:58:19,Software,Amazon Web Services (AWS),Closed Complete,
INC1772302,2024-02-05 13:53:41,Software,Amazon Web Services (AWS),Closed Complete,
INC1772308,2024-02-05 13:57:06,Network,Meraki,Closed Complete,
INC1772331,2024-02-05 14:17:19,Software,Buy Online Pickup In Store (BOPIS),Closed Complete,
INC1772449,2024-02-05 17:19:49,Software,Store Point of Sale (POS),Closed Complete,
INC1772458,2024-02-05 17:40:34,Software,Store Point of Sale (POS),Closed Complete,
INC1772462,2024-02-05 17:57:48,Software,Store Point of Sale (POS),Closed Complete,
INC1772466,2024-02-05 18:24:54,Software,Store Point of Sale (POS),Closed Complete,
INC1772476,2024-02-05 18:48:26,Software,Store Point of Sale (POS),Closed Complete,
INC1772533,2024-02-06 05:12:12,Software,SAP ECC PRD RTP,Closed Complete,
INC1772534,2024-02-06 05:18:02,Software,Hybris 1.2,Closed Complete,
INC1772535,2024-02-06 05:21:32,Software,SAP ECC PRD RTP,Closed Complete,
INC1772536,2024-02-06 05:25:17,Software,SAP ECC PRD RTP,Closed Complete,
INC1772538,2024-02-06 05:27:59,Network,SAP Fiori,Closed Complete,
INC1772539,2024-02-06 05:28:01,Network,SAP Fiori,Closed Complete,
INC1772540,2024-02-06 05:30:38,Software,SAP ECC,Closed Complete,
INC1772541,2024-02-06 05:45:49,Network,SAP ECC PRD RTP,Closed Complete,
INC1772542,2024-02-06 05:48:08,Software,SAP ECC PRD RTP,Closed Complete,
INC1772545,2024-02-06 05:51:39,Software,SAP ECC PRD RTP,Closed Complete,
INC1772547,2024-02-06 05:52:01,Software,Kronos Workforce Central,Closed Complete,
INC1772549,2024-02-06 05:58:16,Network,SAP ECC PRD RTP,Closed Complete,
INC1772551,2024-02-06 06:01:39,Software,GK POS,Closed Complete,
INC1772553,2024-02-06 06:03:08,Network,SAP ECC PRD RTP,Closed Complete,
INC1772555,2024-02-06 06:08:06,Software,SAP ECC PRD RTP,Closed Complete,
INC1772557,2024-02-06 06:10:36,Software,SAP ECC PRD RTP,Closed Complete,
INC1772570,2024-02-06 06:28:23,Software,GK POS,Closed Complete,
INC1772777,2024-02-06 08:22:48,Software,GK POS,Closed Complete,
INC1772870,2024-02-06 11:14:39,Software,GK POS,Closed Complete,
INC1772947,2024-02-06 11:39:29,Software,Store Point of Sale (POS),Closed Complete,
INC1772903,2024-02-06 11:44:57,Software,Amazon Web Services (AWS),Closed Complete,
INC1773183,2024-02-06 13:20:51,Software,GK POS,Closed Complete,
INC1773004,2024-02-06 13:23:10,Software,SAP ERP Central Component (ECC),Closed Complete,
INC1773034,2024-02-06 13:46:42,Software,Amazon Web Services (AWS),Closed Complete,
INC1773093,2024-02-06 15:10:52,Software,Buy Online Pickup In Store (BOPIS),Closed Complete,
INC1773151,2024-02-06 16:25:45,Software,Buy Online Pickup In Store (BOPIS),Closed Complete,
INC1773252,2024-02-07 04:45:07,Network,SAP Fiori,Closed Complete,
INC1773255,2024-02-07 04:58:14,Software,EDI 947 Warehouse Inventory Adjustment,Closed Complete,
INC1773256,2024-02-07 04:58:17,Software,EDI 947 Warehouse Inventory Adjustment,Closed Complete,
INC1773258,2024-02-07 05:01:00,Software,EDI 947 Warehouse Inventory Adjustment,Closed Complete,
INC1773259,2024-02-07 05:01:04,Software,EDI 947 Warehouse Inventory Adjustment,Closed Complete,
INC1773260,2024-02-07 05:01:06,Software,GK POS,Closed Complete,
INC1773261,2024-02-07 05:02:27,Software,SAP ECC PRD RTP,Closed Complete,
INC1773262,2024-02-07 05:02:30,Software,SAP ECC PRD RTP,Closed Complete,
INC1773263,2024-02-07 05:04:01,Software,EDI 947 Warehouse Inventory Adjustment,Closed Complete,
INC1773264,2024-02-07 05:05:42,Software,EDI 947 Warehouse Inventory Adjustment,Closed Complete,
INC1773265,2024-02-07 05:05:45,Software,SAP ECC PRD RTP,Closed Complete,
INC1773274,2024-02-07 05:29:55,Network,SAP Fiori,Closed Complete,
INC1773276,2024-02-07 05:31:57,Network,SAP Fiori,Closed Complete,
INC1773277,2024-02-07 05:34:29,Network,SAP Fiori,Closed Complete,
INC1773279,2024-02-07 05:36:47,Network,SAP Fiori,Closed Complete,
INC1773280,2024-02-07 05:42:49,Network,SAP Fiori,Closed Complete,
INC1773282,2024-02-07 05:46:12,Network,SAP Fiori,Closed Complete,
INC1773284,2024-02-07 05:49:55,Network,SAP Fiori,Closed Complete,
INC1773289,2024-02-07 06:01:43,Network,SAP Fiori,Closed Complete,
INC1773290,2024-02-07 06:04:28,Network,SAP Fiori,Closed Complete,
INC1773292,2024-02-07 06:07:33,Network,SAP Fiori,Closed Complete,
INC1773295,2024-02-07 06:10:12,Network,SAP Fiori,Closed Complete,
INC1773335,2024-02-07 06:41:34,Software,POS: Product Browse,Closed Complete,
INC1773348,2024-02-07 07:15:02,Software,POS: CVM,Closed Complete,
INC1773431,2024-02-07 08:51:28,Software,Store Email,Closed Complete,
INC1773435,2024-02-07 09:00:09,Software,Duplicate Incident,Closed Complete,
INC1773509,2024-02-07 09:37:49,Network,Duplicate Incident,Closed Skipped,
INC1773610,2024-02-07 12:15:24,Software,Salesforce Field Service (FSL),Closed Complete,
INC1773626,2024-02-07 12:27:41,Software,Mulesoft Cloudhub,Closed Complete,
INC1773763,2024-02-07 15:06:17,Software,Buy Online Pickup In Store (BOPIS),Closed Complete,
INC1773896,2024-02-07 18:11:49,Software,GK POS,Closed Complete,
INC1773999,2024-02-08 04:51:30,Software,GK POS,Closed Complete,
INC1774000,2024-02-08 04:53:53,Software,SAP ECC PRD RTP,Closed Complete,
INC1774014,2024-02-08 05:33:53,Software,Hybris 1.2,Closed Complete,
INC1774015,2024-02-08 05:36:55,Software,Hybris 1.2,Closed Complete,
INC1774017,2024-02-08 05:40:21,Software,Hybris 1.2,Closed Complete,
INC1774019,2024-02-08 05:42:06,Software,Hybris 1.2,Closed Complete,
INC1774021,2024-02-08 05:44:33,Software,SAP ECC PRD RTP,Closed Complete,
INC1774023,2024-02-08 05:48:24,Software,SAP ECC PRD RTP,Closed Complete,
INC1774024,2024-02-08 05:50:29,Software,SAP ECC PRD RTP,Closed Complete,
INC1774026,2024-02-08 05:52:24,Software,Hybris 1.2,Closed Complete,
INC1774027,2024-02-08 05:55:11,Software,SAP ECC PRD RTP,Closed Complete,
INC1774030,2024-02-08 05:57:50,Software,SAP ECC PRD RTP,Closed Complete,
INC1774390,2024-02-08 07:44:10,Software,GK POS,Closed Complete,
INC1774158,2024-02-08 08:19:49,Software,POS: CVM,Closed Complete,
INC1774260,2024-02-08 09:39:05,Software,Salesforce: Appointments ,Closed Complete,
INC1774452,2024-02-08 09:53:30,Software,GK POS,Closed Complete,
INC1774312,2024-02-08 10:11:55,Software,Buy Online Pickup In Store (BOPIS),Closed Complete,
INC1774491,2024-02-08 13:04:57,Software,GK POS,Closed Complete,
INC1774538,2024-02-08 14:21:04,Software,,Closed Complete,
INC1774576,2024-02-08 15:05:56,Hardware,ViewSonic Monitor Drivers,Closed Complete,
INC1774665,2024-02-08 16:50:05,Software,GK POS,Closed Complete,
INC1774822,2024-02-09 04:49:11,Software,Hybris 1.2,Closed Complete,
INC1774823,2024-02-09 04:51:06,Software,Hybris 1.2,Closed Complete,
INC1774825,2024-02-09 05:01:28,Software,GK POS,Closed Complete,
INC1774826,2024-02-09 05:03:47,Software,GK POS,Closed Complete,
INC1774833,2024-02-09 05:20:53,Software,GK POS,Closed Complete,
INC1774883,2024-02-09 06:18:51,Software,GK POS,Closed Complete,
INC1774932,2024-02-09 07:28:19,Software,GK POS,Closed Complete,
INC1774956,2024-02-09 07:34:34,Software,POS: Alert Center,Closed Complete,
INC1775182,2024-02-09 10:50:52,Software,Mulesoft Cloudhub,Closed Complete,
INC1775420,2024-02-09 13:11:10,Software,GK POS,Closed Complete,
INC1775311,2024-02-09 13:14:02,Software,GK POS,Closed Complete,
INC1775428,2024-02-09 14:16:45,Software,Hybris 1.2,Closed Complete,
INC1775443,2024-02-09 15:34:29,Software,GK POS,Closed Complete,
INC1775437,2024-02-09 15:36:51,Software,Hybris 1.2,Closed Complete,
INC1775453,2024-02-09 15:56:52,Software,Hybris 1.2,Closed Complete,
INC1775465,2024-02-09 16:09:53,Software,GK POS,Closed Complete,
INC1775474,2024-02-09 16:18:31,Software,GK POS,Closed Complete,
INC1775477,2024-02-09 16:50:53,Software,,Closed Complete,
INC1775482,2024-02-09 17:01:23,Software,,Closed Complete,
INC1775523,2024-02-09 17:42:25,Software,GK POS,Closed Complete,
INC1775650,2024-02-10 07:33:17,Software,GK POS,Closed Complete,
INC1775702,2024-02-10 07:34:39,Software,Store Point of Sale (POS),Closed Complete,
INC1775704,2024-02-10 09:14:51,Software,GK POS,Closed Complete,
INC1775748,2024-02-10 10:40:04,Software,Hybris 1.2,Closed Complete,
INC1775842,2024-02-10 12:35:49,Software,GK POS,Closed Complete,
INC1775893,2024-02-10 15:38:12,Software,Store Point of Sale (POS),Closed Complete,
INC1775880,2024-02-10 16:13:37,Software,GK POS,Closed Complete,
INC1775948,2024-02-11 10:21:55,Software,Amazon Web Services (AWS),Closed Complete,
INC1776013,2024-02-12 02:41:05,Software,EDI 947 Warehouse Inventory Adjustment,Closed Complete,
INC1776014,2024-02-12 02:46:19,Software,EDI 947 Warehouse Inventory Adjustment,Closed Complete,
INC1776015,2024-02-12 02:49:52,Software,GK POS,Closed Complete,
INC1776016,2024-02-12 02:53:30,Software,GK POS,Closed Complete,
INC1776028,2024-02-12 04:32:21,Software,SAP ECC PRD RTP,Closed Complete,
INC1776029,2024-02-12 04:34:59,Software,SAP ECC PRD RTP,Closed Complete,
INC1776030,2024-02-12 04:36:49,Software,SAP ECC PRD RTP,Closed Complete,
INC1776032,2024-02-12 04:41:01,Software,Hybris 1.2,Closed Complete,
INC1776035,2024-02-12 04:45:04,Software,SAP ECC,Closed Complete,
INC1776036,2024-02-12 04:47:19,Software,SAP ECC PRD RTP,Closed Complete,
INC1776037,2024-02-12 04:47:22,Software,Hybris 1.2,Closed Complete,
INC1776039,2024-02-12 04:52:12,Software,Hybris 1.2,Closed Complete,
INC1776040,2024-02-12 04:54:48,Software,SAP ECC PRD RTP,Closed Complete,
INC1776041,2024-02-12 04:57:02,Software,SAP ECC PRD RTP,Closed Complete,
INC1776042,2024-02-12 04:58:24,Software,SAP ECC PRD RTP,Closed Complete,
INC1776043,2024-02-12 05:01:00,Software,SAP ECC PRD RTP,Closed Complete,
INC1776126,2024-02-12 07:01:16,Software,SAP Fiori,Closed Complete,
INC1776134,2024-02-12 07:05:12,Software,Hybris 1.2,Closed Complete,
INC1776170,2024-02-12 07:29:46,Software,,Closed Complete,
INC1776228,2024-02-12 08:20:16,Hardware,Thermal Transfer Printer ZD421,Closed Complete,
INC1776307,2024-02-12 08:52:06,Software,SAP ERP Central Component (ECC),Closed Complete,
INC1776404,2024-02-12 10:13:06,Software,Buy Online Pickup In Store (BOPIS),Closed Complete,
INC1776464,2024-02-12 10:53:29,Software,GK POS,Closed Complete,
INC1776465,2024-02-12 11:07:58,Software,Computer,Closed Complete,
INC1776488,2024-02-12 11:25:14,Software,Tax application,Closed Complete,
INC1776569,2024-02-12 12:23:44,Software,GK POS,Closed Complete,
INC1776572,2024-02-12 12:33:51,Software,Missing Asset,Closed Complete,
INC1776743,2024-02-12 14:24:18,Software,vision,Closed Complete,
INC1776807,2024-02-12 15:45:42,Software,GK POS,Closed Complete,
INC1776800,2024-02-12 16:06:16,Software,Amazon Web Services (AWS),Closed Complete,
INC1776817,2024-02-12 16:13:20,Software,GK POS,Closed Complete,
INC1776864,2024-02-12 16:39:35,Software,Store Point of Sale (POS),Closed Complete,
INC1776874,2024-02-12 18:37:10,Software,vision,Closed Complete,
INC1776879,2024-02-12 18:53:04,Software,GK Launchpad,Closed Complete,
INC1776886,2024-02-12 19:23:48,Software,GK POS,Closed Complete,
INC1776970,2024-02-13 03:53:01,Software,SAP ECC PRD RTP,Closed Complete,
INC1776971,2024-02-13 03:56:10,Software,GK POS,Closed Complete,
INC1776973,2024-02-13 04:00:18,Software,SAP ERP Central Component (ECC),Closed Complete,
INC1776974,2024-02-13 04:08:28,Software,Hybris 1.2,Closed Complete,
INC1776976,2024-02-13 04:11:28,Software,Hybris 1.2,Closed Complete,
INC1776977,2024-02-13 04:13:57,Software,Hybris 1.2,Closed Complete,
INC1776981,2024-02-13 04:24:18,Software,Hybris 1.2,Closed Complete,
INC1776982,2024-02-13 04:24:20,Software,SAP ERP Central Component (ECC),Closed Complete,
INC1776983,2024-02-13 04:26:42,Software,Hybris 1.2,Closed Complete,
INC1776984,2024-02-13 04:31:46,Software,Hybris 1.2,Closed Complete,
INC1776985,2024-02-13 04:34:16,Software,Hybris 1.2,Closed Complete,
INC1776988,2024-02-13 04:35:36,Software,Hybris 1.2,Closed Complete,
INC1777012,2024-02-13 06:09:07,Software,GK POS,Closed Complete,
INC1777053,2024-02-13 06:47:26,Software,vision,Closed Complete,
INC1777064,2024-02-13 07:00:30,Software,GK POS,Closed Complete,
INC1777070,2024-02-13 07:04:29,Software,EDI 947 Warehouse Inventory Adjustment,Closed Complete,
INC1777073,2024-02-13 07:05:43,Software,GK POS,Closed Complete,
INC1777104,2024-02-13 07:26:11,Software,Miscellaneous,Closed Complete,
INC1777189,2024-02-13 08:06:26,Software,GK POS,Closed Complete,
INC1777156,2024-02-13 08:15:47,Software,vision,Closed Complete,
INC1777252,2024-02-13 09:34:30,Software,,Closed Complete,
INC1777253,2024-02-13 09:34:31,Software,Amazon Web Services (AWS),Closed Complete,
INC1777399,2024-02-13 10:47:30,Software,,Closed Complete,
INC1777404,2024-02-13 11:57:21,Software,,Closed Complete,
INC1777592,2024-02-13 14:59:55,Software,vision,Closed Complete,
INC1777585,2024-02-13 15:16:33,Software,Amazon Web Services (AWS),Closed Complete,
INC1777604,2024-02-13 15:37:19,Software,GK Launchpad,Closed Complete,
INC1777689,2024-02-13 18:34:54,Software,Hybris 1.2,Closed Complete,
INC1777795,2024-02-14 02:17:41,Software,SAP ECC PRD RTP,Closed Complete,
INC1777796,2024-02-14 02:20:46,Software,SAP OMS,Closed Complete,
INC1777797,2024-02-14 02:22:54,Software,GK POS,Closed Complete,
INC1777799,2024-02-14 02:27:00,Software,SAP ERP Central Component (ECC),Closed Complete,
INC1777800,2024-02-14 02:28:17,Software,GK POS,Closed Complete,
INC1777801,2024-02-14 02:30:25,Software,Hybris 1.2,Closed Complete,
INC1777802,2024-02-14 02:33:07,Software,SAP OMS,Closed Complete,
INC1777804,2024-02-14 03:04:29,Software,GK POS,Closed Complete,
INC1777806,2024-02-14 03:11:14,Network,SAP Fiori,Closed Complete,
INC1777807,2024-02-14 03:16:43,Network,SAP Fiori,Closed Complete,
INC1777808,2024-02-14 03:20:33,Software,SAP Fiori,Closed Complete,
INC1777810,2024-02-14 03:23:13,Software,GK POS,Closed Complete,
INC1777818,2024-02-14 04:02:56,Software,SAP Fiori,Closed Complete,
INC1777857,2024-02-14 06:06:00,Software,Secondary Supplier Website Orders,Closed Complete,
INC1777898,2024-02-14 06:51:12,Software,EDI 947 Warehouse Inventory Adjustment,Closed Complete,
INC1777944,2024-02-14 07:28:55,Software,EDI 947 Warehouse Inventory Adjustment,Closed Complete,
INC1778001,2024-02-14 08:13:24,Software,GK POS,Closed Complete,
INC1778005,2024-02-14 08:29:11,Software,Salesforce Field Service (FSL),Closed Complete,
INC1778034,2024-02-14 08:58:02,Software,Salesforce Field Service (FSL),Closed Skipped,
INC1778155,2024-02-14 10:32:19,Hardware,DTPF4124NTL,Closed Complete,
INC1778178,2024-02-14 10:45:45,Software,GK POS,Closed Complete,
INC1778303,2024-02-14 11:32:10,Software,Request,Closed Complete,
INC1778244,2024-02-14 12:02:44,Software,GK POS,Closed Complete,
INC1778371,2024-02-14 14:19:26,Software,GK POS,Closed Complete,
INC1778576,2024-02-15 05:20:35,Software,EDI 947 Warehouse Inventory Adjustment,Closed Complete,
INC1778578,2024-02-15 05:20:38,Software,SAP Hybris,Closed Complete,
INC1778579,2024-02-15 05:23:02,Software,Hybris 1.2,Closed Complete,
INC1778585,2024-02-15 05:28:49,Software,GK POS,Closed Complete,
INC1778586,2024-02-15 05:28:52,Software,SAP ECC PRD RTP,Closed Complete,
INC1778588,2024-02-15 05:31:37,Software,Hybris 1.2,Closed Complete,
INC1778590,2024-02-15 05:37:49,Software,EDI 947 Warehouse Inventory Adjustment,Closed Complete,
INC1778595,2024-02-15 05:44:14,Software,EDI 947 Warehouse Inventory Adjustment,Closed Complete,
INC1778600,2024-02-15 05:48:51,Software,GK POS,Closed Complete,
INC1778602,2024-02-15 05:56:39,Software,EDI 947 Warehouse Inventory Adjustment,Closed Complete,
INC1778603,2024-02-15 05:59:29,Software,GK POS,Closed Complete,
INC1778642,2024-02-15 06:47:26,,,Closed Complete,
INC1778647,2024-02-15 06:57:03,Software,EDI 947 Warehouse Inventory Adjustment,Closed Complete,
INC1778654,2024-02-15 07:00:53,Software,Buy Online Pickup In Store (BOPIS),Closed Complete,
INC1778817,2024-02-15 09:34:38,Software,GK POS,Closed Complete,
INC1778808,2024-02-15 09:36:58,Software,Amazon Web Services (AWS),Closed Complete,
INC1778855,2024-02-15 10:29:46,Software,Amazon Web Services (AWS),Closed Complete,
INC1778953,2024-02-15 12:11:14,Software,Amazon Web Services (AWS),Closed Complete,
INC1778958,2024-02-15 12:16:14,Software,GK POS,Closed Complete,
INC1779153,2024-02-15 16:20:47,Software,,Closed Complete,
INC1779155,2024-02-15 16:20:48,Software,,Closed Complete,
INC1779159,2024-02-15 16:26:21,Software,,Closed Complete,
INC1779174,2024-02-15 16:43:40,Software,,Closed Complete,
INC1779193,2024-02-15 16:52:26,Software,vision,Closed Complete,
INC1779183,2024-02-15 17:02:08,Software,,Closed Complete,
INC1779216,2024-02-15 18:36:11,Software,GK POS,Closed Complete,
INC1779270,2024-02-16 02:23:17,Software,Hybris 1.2,Closed Complete,
INC1779271,2024-02-16 02:28:04,Software,Hybris 1.2,Closed Complete,
INC1779278,2024-02-16 02:34:49,Software,Hybris 1.2,Closed Complete,
INC1779280,2024-02-16 02:41:27,Network,SAP Fiori,Closed Complete,
INC1779286,2024-02-16 03:56:23,Software,EDI 947 Warehouse Inventory Adjustment,Closed Complete,
INC1779378,2024-02-16 07:21:54,Software,EDI 947 Warehouse Inventory Adjustment,Closed Complete,
INC1779502,2024-02-16 09:49:02,Software,Amazon Web Services (AWS),Closed Complete,
INC1779527,2024-02-16 09:51:00,Software,GK POS,Closed Complete,
INC1779530,2024-02-16 10:16:23,Software,SAP Customer Activity Repository (CAR),Closed Complete,
INC1779531,2024-02-16 10:18:27,Software,SAP Customer Activity Repository (CAR),Closed Complete,
INC1779597,2024-02-16 11:05:41,Software,GK POS,Closed Complete,
INC1779612,2024-02-16 11:37:47,Software,Hybris 1.2,Closed Complete,
INC1779631,2024-02-16 11:48:49,Software,GK POS,Closed Complete,
